OBJECTID,BdVal,PctNum,BdName,ElectPct,Requests,Returns,PercentReturned,Party,ELECTNO_1,ELECTDATE,ELECTTTL,ELECTTL2,SHAPE__Area,SHAPE__Length
241,0820,820.0,SURPRISE,0820,774,379,0.489664,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,5944696.984375,11791.972293032
242,0502,502.0,MCDONALD,0502,240,193,0.804166,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,1145953.57421875,4507.88667112817
243,0112,112.0,CARVER,0112,1414,825,0.583451,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,11040898.0859375,18641.476723035
244,0066,66.0,BLOOM,0066,459,260,0.566448,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,3739785.69921875,9661.3750718935
245,0666,666.0,PYRAMID PEAK,0666,717,486,0.677824,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,7270366.8671875,12354.4744296091
246,0105,105.0,CARDINAL,0105,1066,760,0.712945,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,9579173.0625,13793.8713995268
247,0702,702.0,ROESER,0702,2016,863,0.428075,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,8087756.40234375,13975.9140022772
248,0676,676.0,RED MOUNTAIN,0676,747,538,0.720214,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,13613949.46875,17935.9014045334
249,0758,758.0,SIESTA,0758,357,248,0.694677,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,1867986.37890625,5779.19336502632
250,0202,202.0,DEERVIEW,0202,235,140,0.595744,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,1888567.05078125,5832.18430251927
251,0451,451.0,LIME,0451,97,60,0.618556,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,3697336.8203125,7692.87797742629
252,0195,195.0,DALLAS,0195,929,486,0.523143,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,8167757.875,14988.3166882592
253,0094,94.0,CAMBRIDGE,0094,260,100,0.384615,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,999396.671875,3984.75023688963
