OBJECTID,BdVal,BdName,Requests,Returns,PercentReturned,ELECTDATE,ELECTTTL,ELECTTL2,SHAPE__Area,SHAPE__Length
68,0754,SIERRA MADRE,2630,1397,0.531178,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,3714849.47265625,7709.57094165889
69,0233,DOVE,2839,1026,0.361394,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,15200910.1054688,15717.7907241895
70,0034,ARROWHEAD RANCH,1526,914,0.598951,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,1976392.91796875,5908.6218890256
71,0456,LOBO,2439,1169,0.479294,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,3728432.1328125,7725.0505082975
72,0411,JUNIPER,1157,588,0.50821,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,1829707.234375,5769.57533216313
73,0280,FENIMORE,4497,2487,0.553035,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,17064335.265625,20765.2376305154
74,0878,VISTA VERDE,336,213,0.633928,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,82874407.8945313,44205.0900687042
75,0834,TIERRA MADRE,2816,1635,0.58061,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,10751234.796875,16342.3971517231
76,0787,STARDUST,1110,810,0.729729,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,6445603.4765625,11537.4019962418
77,0056,BERYL,1339,701,0.523525,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,1852011.109375,5772.719641738
78,0172,COTTON LANE,1687,986,0.584469,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,27398039.9921875,22445.2825359406
79,0808,SUNFLOWER,8,6,0.75,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,528896091.953125,138257.750791954
80,0534,MOON VALLEY,2306,1508,0.653946,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,6496051.203125,10447.1933251138
81,0235,DOVER,1189,891,0.749369,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,1569508.38671875,5296.03349323779
82,0647,PINTO,2834,1898,0.669724,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,5440350.890625,10682.2906048217
83,0168,CORRINE,2361,1361,0.57645,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,3744325.109375,7764.69036866376
84,0735,SARATOGA,1862,1439,0.772824,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,2281642.65625,6409.90574944427
85,0372,HILLERY,2046,1331,0.650537,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,3726255.640625,7693.76217447228
86,0845,TRADITIONS,2389,1806,0.755964,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,4045727.58203125,8318.7549948484
87,0927,WOODGLEN,2736,1484,0.542397,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,6905690.48828125,13277.0605476507
88,0434,LAREDO,2898,1645,0.567632,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,3881787.171875,8017.93670559665
89,0111,CARRIAGE LANE,2383,1214,0.509441,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,4197116.16796875,11197.3005229834
90,0038,ASPEN,827,439,0.530834,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,1984917.71875,6244.92656863793
91,0175,COUNTRY GABLES,937,454,0.484525,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,2200266.578125,6377.30363643022
92,0624,PEACH TREE,3332,2428,0.728691,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,7466610.51171875,11579.2077519176
93,0314,GILA BEND,396,179,0.45202,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,1064681350.04297,224927.209112363
94,0118,CENTENNIAL,1407,600,0.426439,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,3722787.25390625,9646.73018634133
95,0078,BRONCO,3003,2067,0.688311,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,14596705.7382813,15287.7990580415
96,0925,WOLF RUN,3175,2411,0.75937,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,10889490.6992188,17816.0291743457
97,0026,APACHE WELLS,4046,2725,0.673504,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,11171172.5273438,15437.4040372475
98,0911,WIGWAM CREEK,2606,1391,0.533768,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,5396383.05859375,14313.1071008614
99,0266,ESCALANTE,2639,992,0.375899,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,3702616.80078125,7677.3552091309
100,0165,CORDOVA,801,239,0.298377,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,2334715.46484375,6768.69545605381
